اسم اللعبة,السعر,التقييم,رابط المنتج
LEGO The Incredibles for Nintendo Switch,26.,4.7 out of 5 stars,https://www.amazon.com/LEGO-Disney-Pixars-Incredibles-Nintendo-Switch/dp/B07BMDG5ZP/ref=sr_1_136?_encoding=UTF8&dib=eyJ2IjoiMSJ9.HQNrlErsApXr4BisygaUGeubo521NFUBaR9tWgFAQVcJgaSZZu5542ryI3_DGtQm732Y3JeMNY-4wTfftx-dlJesQguesAVkRK1wT9AVuacHJvLoO_2EYP6zLqz8hoFRtr3JvSUhzWmKPJ9W_gv92VQb0nBkgBjFVE-16_yMGAHv209t228JNKmpyFkOJaAQWJwvNqc_YRMQzDRQqM_Wvar8lmCTwc9BR26k3kt69ig.yjiAPCSEsNZv5l1DBUq3T8xeiexIWLuDHk44_LHdThU&dib_tag=se&keywords=Nintendo+Switch+Games&qid=1738966839&s=videogames&sr=1-136
Sonic Forces: Standard Edition - Nintendo Switch,19.,4.7 out of 5 stars,https://www.amazon.com/Sonic-Forces-Standard-Nintendo-Switch/dp/B07576J1H6/ref=sr_1_137?_encoding=UTF8&dib=eyJ2IjoiMSJ9.HQNrlErsApXr4BisygaUGeubo521NFUBaR9tWgFAQVcJgaSZZu5542ryI3_DGtQm732Y3JeMNY-4wTfftx-dlJesQguesAVkRK1wT9AVuacHJvLoO_2EYP6zLqz8hoFRtr3JvSUhzWmKPJ9W_gv92VQb0nBkgBjFVE-16_yMGAHv209t228JNKmpyFkOJaAQWJwvNqc_YRMQzDRQqM_Wvar8lmCTwc9BR26k3kt69ig.yjiAPCSEsNZv5l1DBUq3T8xeiexIWLuDHk44_LHdThU&dib_tag=se&keywords=Nintendo+Switch+Games&qid=1738966839&s=videogames&sr=1-137
Expeditions: A Mudrunner Game - Nintendo Switch,19.,4.3 out of 5 stars,https://www.amazon.com/Expeditions-Mudrunner-Game-Nintendo-Switch/dp/B0CQB9X6JQ/ref=sr_1_138?_encoding=UTF8&dib=eyJ2IjoiMSJ9.HQNrlErsApXr4BisygaUGeubo521NFUBaR9tWgFAQVcJgaSZZu5542ryI3_DGtQm732Y3JeMNY-4wTfftx-dlJesQguesAVkRK1wT9AVuacHJvLoO_2EYP6zLqz8hoFRtr3JvSUhzWmKPJ9W_gv92VQb0nBkgBjFVE-16_yMGAHv209t228JNKmpyFkOJaAQWJwvNqc_YRMQzDRQqM_Wvar8lmCTwc9BR26k3kt69ig.yjiAPCSEsNZv5l1DBUq3T8xeiexIWLuDHk44_LHdThU&dib_tag=se&keywords=Nintendo+Switch+Games&qid=1738966839&s=videogames&sr=1-138
Sushi Bar Express (Nintendo Switch) Game,18.,4.6 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3Njg0OTQyNTUwMTkyMDAxOjE3Mzg5NjY4NDA6c3BfbXRmOjIwMDE2MzIzMzI1OTc5ODo6MDo6&url=%2FSushi-Bar-Express-Nintendo-Switch%2Fdp%2FB0BTTH51HL%2Fref%3Dsr_1_139_sspa%3F_encoding%3DUTF8%26dib%3DeyJ2IjoiMSJ9.HQNrlErsApXr4BisygaUGeubo521NFUBaR9tWgFAQVcJgaSZZu5542ryI3_DGtQm732Y3JeMNY-4wTfftx-dlJesQguesAVkRK1wT9AVuacHJvLoO_2EYP6zLqz8hoFRtr3JvSUhzWmKPJ9W_gv92VQb0nBkgBjFVE-16_yMGAHv209t228JNKmpyFkOJaAQWJwvNqc_YRMQzDRQqM_Wvar8lmCTwc9BR26k3kt69ig.yjiAPCSEsNZv5l1DBUq3T8xeiexIWLuDHk44_LHdThU%26dib_tag%3Dse%26keywords%3DNintendo%2BSwitch%2BGames%26qid%3D1738966839%26s%3Dvideogames%26sr%3D1-139-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Winter Sports Games (Nintendo Switch),34.,3.8 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3Njg0OTQyNTUwMTkyMDAxOjE3Mzg5NjY4NDA6c3BfbXRmOjIwMDA1MTY4MzI4NDc5ODo6MDo6&url=%2FWinter-Sports-Games-Nintendo-Switch%2Fdp%2FB08C8MSN66%2Fref%3Dsr_1_140_sspa%3F_encoding%3DUTF8%26dib%3DeyJ2IjoiMSJ9.HQNrlErsApXr4BisygaUGeubo521NFUBaR9tWgFAQVcJgaSZZu5542ryI3_DGtQm732Y3JeMNY-4wTfftx-dlJesQguesAVkRK1wT9AVuacHJvLoO_2EYP6zLqz8hoFRtr3JvSUhzWmKPJ9W_gv92VQb0nBkgBjFVE-16_yMGAHv209t228JNKmpyFkOJaAQWJwvNqc_YRMQzDRQqM_Wvar8lmCTwc9BR26k3kt69ig.yjiAPCSEsNZv5l1DBUq3T8xeiexIWLuDHk44_LHdThU%26dib_tag%3Dse%26keywords%3DNintendo%2BSwitch%2BGames%26qid%3D1738966839%26s%3Dvideogames%26sr%3D1-140-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Big Rumble Boxing: Creed Champions - Nintendo Switch,28.,4.5 out of 5 stars,https://www.amazon.com/Big-Rumble-Boxing-Champions-Nintendo-Switch/dp/B09745T8B8/ref=sr_1_141?_encoding=UTF8&dib=eyJ2IjoiMSJ9.HQNrlErsApXr4BisygaUGeubo521NFUBaR9tWgFAQVcJgaSZZu5542ryI3_DGtQm732Y3JeMNY-4wTfftx-dlJesQguesAVkRK1wT9AVuacHJvLoO_2EYP6zLqz8hoFRtr3JvSUhzWmKPJ9W_gv92VQb0nBkgBjFVE-16_yMGAHv209t228JNKmpyFkOJaAQWJwvNqc_YRMQzDRQqM_Wvar8lmCTwc9BR26k3kt69ig.yjiAPCSEsNZv5l1DBUq3T8xeiexIWLuDHk44_LHdThU&dib_tag=se&keywords=Nintendo+Switch+Games&qid=1738966839&s=videogames&sr=1-141
THEATRHYTHM FINAL BAR LINE Digital Deluxe - Nintendo Switch [Digital Code],79.,5.0 out of 5 stars,https://www.amazon.com/THEATRHYTHM-FINAL-LINE-Digital-Deluxe/dp/B0BX8FV26C/ref=sr_1_142?_encoding=UTF8&dib=eyJ2IjoiMSJ9.HQNrlErsApXr4BisygaUGeubo521NFUBaR9tWgFAQVcJgaSZZu5542ryI3_DGtQm732Y3JeMNY-4wTfftx-dlJesQguesAVkRK1wT9AVuacHJvLoO_2EYP6zLqz8hoFRtr3JvSUhzWmKPJ9W_gv92VQb0nBkgBjFVE-16_yMGAHv209t228JNKmpyFkOJaAQWJwvNqc_YRMQzDRQqM_Wvar8lmCTwc9BR26k3kt69ig.yjiAPCSEsNZv5l1DBUq3T8xeiexIWLuDHk44_LHdThU&dib_tag=se&keywords=Nintendo+Switch+Games&qid=1738966839&s=videogames&sr=1-142
Minecraft - Nintendo Switch,غير موجود,4.8 out of 5 stars,https://www.amazon.com/Minecraft-Nintendo-Switch/dp/B07D13QGXM/ref=sr_1_143?_encoding=UTF8&dib=eyJ2IjoiMSJ9.HQNrlErsApXr4BisygaUGeubo521NFUBaR9tWgFAQVcJgaSZZu5542ryI3_DGtQm732Y3JeMNY-4wTfftx-dlJesQguesAVkRK1wT9AVuacHJvLoO_2EYP6zLqz8hoFRtr3JvSUhzWmKPJ9W_gv92VQb0nBkgBjFVE-16_yMGAHv209t228JNKmpyFkOJaAQWJwvNqc_YRMQzDRQqM_Wvar8lmCTwc9BR26k3kt69ig.yjiAPCSEsNZv5l1DBUq3T8xeiexIWLuDHk44_LHdThU&dib_tag=se&keywords=Nintendo+Switch+Games&qid=1738966839&s=videogames&sr=1-143
Hotel Transylvania Scary Tale Adventure - Nintendo Switch,19.,4.6 out of 5 stars,https://www.amazon.com/Hotel-Transylvania-Scary-Tale-Adventure-Nintendo/dp/B09R7YNL87/ref=sr_1_144?_encoding=UTF8&dib=eyJ2IjoiMSJ9.HQNrlErsApXr4BisygaUGeubo521NFUBaR9tWgFAQVcJgaSZZu5542ryI3_DGtQm732Y3JeMNY-4wTfftx-dlJesQguesAVkRK1wT9AVuacHJvLoO_2EYP6zLqz8hoFRtr3JvSUhzWmKPJ9W_gv92VQb0nBkgBjFVE-16_yMGAHv209t228JNKmpyFkOJaAQWJwvNqc_YRMQzDRQqM_Wvar8lmCTwc9BR26k3kt69ig.yjiAPCSEsNZv5l1DBUq3T8xeiexIWLuDHk44_LHdThU&dib_tag=se&keywords=Nintendo+Switch+Games&qid=1738966839&s=videogames&sr=1-144
60 in 1 Game Collection Nintendo Switch,35.,4.2 out of 5 stars,https://www.amazon.com/60-Game-Collection-NSW-Nintendo-Switch/dp/B0C75L3FFY/ref=sr_1_145?_encoding=UTF8&dib=eyJ2IjoiMSJ9.HQNrlErsApXr4BisygaUGeubo521NFUBaR9tWgFAQVcJgaSZZu5542ryI3_DGtQm732Y3JeMNY-4wTfftx-dlJesQguesAVkRK1wT9AVuacHJvLoO_2EYP6zLqz8hoFRtr3JvSUhzWmKPJ9W_gv92VQb0nBkgBjFVE-16_yMGAHv209t228JNKmpyFkOJaAQWJwvNqc_YRMQzDRQqM_Wvar8lmCTwc9BR26k3kt69ig.yjiAPCSEsNZv5l1DBUq3T8xeiexIWLuDHk44_LHdThU&dib_tag=se&keywords=Nintendo+Switch+Games&qid=1738966839&s=videogames&sr=1-145
Hunting Simulator - Nintendo Switch,31.,4.6 out of 5 stars,https://www.amazon.com/Hunting-Simulator-Nintendo-Switch/dp/B07CGWPYRW/ref=sr_1_146?_encoding=UTF8&dib=eyJ2IjoiMSJ9.HQNrlErsApXr4BisygaUGeubo521NFUBaR9tWgFAQVcJgaSZZu5542ryI3_DGtQm732Y3JeMNY-4wTfftx-dlJesQguesAVkRK1wT9AVuacHJvLoO_2EYP6zLqz8hoFRtr3JvSUhzWmKPJ9W_gv92VQb0nBkgBjFVE-16_yMGAHv209t228JNKmpyFkOJaAQWJwvNqc_YRMQzDRQqM_Wvar8lmCTwc9BR26k3kt69ig.yjiAPCSEsNZv5l1DBUq3T8xeiexIWLuDHk44_LHdThU&dib_tag=se&keywords=Nintendo+Switch+Games&qid=1738966839&s=videogames&sr=1-146
Lego Star Wars: The Skywalker Saga (Nintendo Switch),غير موجود,4.8 out of 5 stars,https://www.amazon.com/Lego-Star-Wars-Skywalker-Nintendo-Switch/dp/B07T1KMS3V/ref=sr_1_147?_encoding=UTF8&dib=eyJ2IjoiMSJ9.HQNrlErsApXr4BisygaUGeubo521NFUBaR9tWgFAQVcJgaSZZu5542ryI3_DGtQm732Y3JeMNY-4wTfftx-dlJesQguesAVkRK1wT9AVuacHJvLoO_2EYP6zLqz8hoFRtr3JvSUhzWmKPJ9W_gv92VQb0nBkgBjFVE-16_yMGAHv209t228JNKmpyFkOJaAQWJwvNqc_YRMQzDRQqM_Wvar8lmCTwc9BR26k3kt69ig.yjiAPCSEsNZv5l1DBUq3T8xeiexIWLuDHk44_LHdThU&dib_tag=se&keywords=Nintendo+Switch+Games&qid=1738966839&s=videogames&sr=1-147
Kalypso Railway Empire - For Nintendo Switch,49.,لا يوجد تقييم,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3Njg0OTQyNTUwMTkyMDAxOjE3Mzg5NjY4NDA6c3BfYnRmOjMwMDY1NjU3Mjc2MjMwMjo6MDo6&url=%2FRailway-Empire-Nintendo-Switch%2Fdp%2FB087DHV93Z%2Fref%3Dsr_1_148_sspa%3F_encoding%3DUTF8%26dib%3DeyJ2IjoiMSJ9.HQNrlErsApXr4BisygaUGeubo521NFUBaR9tWgFAQVcJgaSZZu5542ryI3_DGtQm732Y3JeMNY-4wTfftx-dlJesQguesAVkRK1wT9AVuacHJvLoO_2EYP6zLqz8hoFRtr3JvSUhzWmKPJ9W_gv92VQb0nBkgBjFVE-16_yMGAHv209t228JNKmpyFkOJaAQWJwvNqc_YRMQzDRQqM_Wvar8lmCTwc9BR26k3kt69ig.yjiAPCSEsNZv5l1DBUq3T8xeiexIWLuDHk44_LHdThU%26dib_tag%3Dse%26keywords%3DNintendo%2BSwitch%2BGames%26qid%3D1738966839%26s%3Dvideogames%26sr%3D1-148-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
Railway Empire - Nintendo Switch,49.,لا يوجد تقييم,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3Njg0OTQyNTUwMTkyMDAxOjE3Mzg5NjY4NDA6c3BfYnRmOjMwMDY1NjU3Mjc2MjIwMjo6MDo6&url=%2FRailway-Empire-Nintendo-Switch%2Fdp%2FB08BJGQ7QN%2Fref%3Dsr_1_149_sspa%3F_encoding%3DUTF8%26dib%3DeyJ2IjoiMSJ9.HQNrlErsApXr4BisygaUGeubo521NFUBaR9tWgFAQVcJgaSZZu5542ryI3_DGtQm732Y3JeMNY-4wTfftx-dlJesQguesAVkRK1wT9AVuacHJvLoO_2EYP6zLqz8hoFRtr3JvSUhzWmKPJ9W_gv92VQb0nBkgBjFVE-16_yMGAHv209t228JNKmpyFkOJaAQWJwvNqc_YRMQzDRQqM_Wvar8lmCTwc9BR26k3kt69ig.yjiAPCSEsNZv5l1DBUq3T8xeiexIWLuDHk44_LHdThU%26dib_tag%3Dse%26keywords%3DNintendo%2BSwitch%2BGames%26qid%3D1738966839%26s%3Dvideogames%26sr%3D1-149-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1%26smid%3DA3L2KOXEXJZT5E
Need help?,غير موجود,لا يوجد تقييم,https://www.amazon.com/gp/help/customer/display.html?nodeId=468556
Results,غير موجود,لا يوجد تقييم,لا يوجد رابط
Assassins Creed Rebel Collection (Code in Box) (Nintendo Switch),غير موجود,4.0 out of 5 stars,https://www.amazon.com/Assassins-Creed-Rebel-Collection-Nintendo-Switch/dp/B08P8D7NKR/ref=sr_1_161?_encoding=UTF8&dib=eyJ2IjoiMSJ9.1NwW_0-aMPB9U6o5KzAwAR8rMAiXBJBHWJODHYxo9dhXYsBB80OrFoN-onSP-AJxNsfP2CFIMsrWFVmvkisZBCn64xYXaiqxBWFD2c9lb7hzZjyvK9PueVyC7a42B7hN2dVvBR6cHZZhocRkdqBUJt7p7EaPBC9SHWDvuq9bgGcJgpvMIguNzV8cYxutWEyQPYn4v5FahShIpiyNHsyeP5O2mAzyniywF6HwJjkNxfk.NRPmlOe3lx_GMQFvlQTYR71sVyisI3NE2UYWmJe5elg&dib_tag=se&keywords=Nintendo+Switch+Games&qid=1738966843&s=videogames&sr=1-161
Fortnite Minty Legends Pack(code in Box),99.,4.2 out of 5 stars,https://www.amazon.com/Fortnite-Minty-Legends-Pack-Nintendo-Switch/dp/B09GJP8BPZ/ref=sr_1_162?_encoding=UTF8&dib=eyJ2IjoiMSJ9.1NwW_0-aMPB9U6o5KzAwAR8rMAiXBJBHWJODHYxo9dhXYsBB80OrFoN-onSP-AJxNsfP2CFIMsrWFVmvkisZBCn64xYXaiqxBWFD2c9lb7hzZjyvK9PueVyC7a42B7hN2dVvBR6cHZZhocRkdqBUJt7p7EaPBC9SHWDvuq9bgGcJgpvMIguNzV8cYxutWEyQPYn4v5FahShIpiyNHsyeP5O2mAzyniywF6HwJjkNxfk.NRPmlOe3lx_GMQFvlQTYR71sVyisI3NE2UYWmJe5elg&dib_tag=se&keywords=Nintendo+Switch+Games&qid=1738966843&s=videogames&sr=1-162
Defense Grid 2 - Nintendo Switch [Digital Code],19.,4.7 out of 5 stars,https://www.amazon.com/Defense-Grid-Nintendo-Switch-Digital/dp/B07NWY3ZF7/ref=sr_1_163?_encoding=UTF8&dib=eyJ2IjoiMSJ9.1NwW_0-aMPB9U6o5KzAwAR8rMAiXBJBHWJODHYxo9dhXYsBB80OrFoN-onSP-AJxNsfP2CFIMsrWFVmvkisZBCn64xYXaiqxBWFD2c9lb7hzZjyvK9PueVyC7a42B7hN2dVvBR6cHZZhocRkdqBUJt7p7EaPBC9SHWDvuq9bgGcJgpvMIguNzV8cYxutWEyQPYn4v5FahShIpiyNHsyeP5O2mAzyniywF6HwJjkNxfk.NRPmlOe3lx_GMQFvlQTYR71sVyisI3NE2UYWmJe5elg&dib_tag=se&keywords=Nintendo+Switch+Games&qid=1738966843&s=videogames&sr=1-163
More results,غير موجود,لا يوجد تقييم,لا يوجد رابط
Harvest Moon: One World Standard - Nintendo Switch [Digital Code],49.,3.5 out of 5 stars,https://www.amazon.com/Harvest-Moon-Standard-Switch-Digital/dp/B08X638N47/ref=sr_1_164?_encoding=UTF8&dib=eyJ2IjoiMSJ9.1NwW_0-aMPB9U6o5KzAwAR8rMAiXBJBHWJODHYxo9dhXYsBB80OrFoN-onSP-AJxNsfP2CFIMsrWFVmvkisZBCn64xYXaiqxBWFD2c9lb7hzZjyvK9PueVyC7a42B7hN2dVvBR6cHZZhocRkdqBUJt7p7EaPBC9SHWDvuq9bgGcJgpvMIguNzV8cYxutWEyQPYn4v5FahShIpiyNHsyeP5O2mAzyniywF6HwJjkNxfk.NRPmlOe3lx_GMQFvlQTYR71sVyisI3NE2UYWmJe5elg&dib_tag=se&keywords=Nintendo+Switch+Games&qid=1738966843&s=videogames&sr=1-164
Wasteland 2: Director's Cut - Nintendo Switch [Digital Code],29.,3.3 out of 5 stars,https://www.amazon.com/Wasteland-Directors-Nintendo-Switch-Digital/dp/B07HMTC97G/ref=sr_1_165?_encoding=UTF8&dib=eyJ2IjoiMSJ9.1NwW_0-aMPB9U6o5KzAwAR8rMAiXBJBHWJODHYxo9dhXYsBB80OrFoN-onSP-AJxNsfP2CFIMsrWFVmvkisZBCn64xYXaiqxBWFD2c9lb7hzZjyvK9PueVyC7a42B7hN2dVvBR6cHZZhocRkdqBUJt7p7EaPBC9SHWDvuq9bgGcJgpvMIguNzV8cYxutWEyQPYn4v5FahShIpiyNHsyeP5O2mAzyniywF6HwJjkNxfk.NRPmlOe3lx_GMQFvlQTYR71sVyisI3NE2UYWmJe5elg&dib_tag=se&keywords=Nintendo+Switch+Games&qid=1738966843&s=videogames&sr=1-165
Touryst - Nintendo Switch [Digital Code],19.,4.5 out of 5 stars,https://www.amazon.com/Nintendo-Touryst-Switch-Digital-Code/dp/B081R1N5D1/ref=sr_1_166?_encoding=UTF8&dib=eyJ2IjoiMSJ9.1NwW_0-aMPB9U6o5KzAwAR8rMAiXBJBHWJODHYxo9dhXYsBB80OrFoN-onSP-AJxNsfP2CFIMsrWFVmvkisZBCn64xYXaiqxBWFD2c9lb7hzZjyvK9PueVyC7a42B7hN2dVvBR6cHZZhocRkdqBUJt7p7EaPBC9SHWDvuq9bgGcJgpvMIguNzV8cYxutWEyQPYn4v5FahShIpiyNHsyeP5O2mAzyniywF6HwJjkNxfk.NRPmlOe3lx_GMQFvlQTYR71sVyisI3NE2UYWmJe5elg&dib_tag=se&keywords=Nintendo+Switch+Games&qid=1738966843&s=videogames&sr=1-166
Rabbids: Party of Legends (Nintendo Switch) (Code in Box),22.,4.3 out of 5 stars,https://www.amazon.com/Rabbids-Party-Legends-Nintendo-Switch-Code/dp/B0BWFMFDVJ/ref=sr_1_167?_encoding=UTF8&dib=eyJ2IjoiMSJ9.1NwW_0-aMPB9U6o5KzAwAR8rMAiXBJBHWJODHYxo9dhXYsBB80OrFoN-onSP-AJxNsfP2CFIMsrWFVmvkisZBCn64xYXaiqxBWFD2c9lb7hzZjyvK9PueVyC7a42B7hN2dVvBR6cHZZhocRkdqBUJt7p7EaPBC9SHWDvuq9bgGcJgpvMIguNzV8cYxutWEyQPYn4v5FahShIpiyNHsyeP5O2mAzyniywF6HwJjkNxfk.NRPmlOe3lx_GMQFvlQTYR71sVyisI3NE2UYWmJe5elg&dib_tag=se&keywords=Nintendo+Switch+Games&qid=1738966843&s=videogames&sr=1-167
